id.yr.season,study,tag,id,N_locs,start_mig,end_mig
2HN_2015_fall,grefa-spain,137397,2HN,633,2015-07-29T16:00:00Z,2015-11-16T21:00:00Z
2HN_2016_fall,grefa-spain,137397,2HN,1224,,
2HN_2016_spring,grefa-spain,137397,2HN,1211,,
2HN_2017_fall,grefa-spain,137397,2HN,1204,2017-06-30T18:40:54.324282Z,2017-07-06T16:00:53.379882Z
2HN_2017_spring,grefa-spain,137397,2HN,1202,2017-05-05T11:00:00Z,2017-05-20T17:53:19.900452Z
2HN_2018_fall,grefa-spain,137397,2HN,1247,2018-09-01T11:00:00Z,2018-09-20T22:10:27.583188Z
2HN_2018_spring,grefa-spain,137397,2HN,1173,2018-03-13T11:03:40.695230Z,2018-04-21T00:39:45.118698Z
2HP_2016_fall,grefa-spain,48500703772,2HP,233,2016-09-02T17:45:30.164029Z,2016-10-10T11:00:00Z
2HP_2018_fall,grefa-spain,48500703772,2HP,230,2018-08-23T06:00:00Z,2018-10-19T13:39:56.694600Z
2HP_2018_spring,grefa-spain,48500703772,2HP,116,2018-04-16T03:31:03.808481Z,2018-05-25T11:30:52.575740Z
95N_2018_fall,grefa-spain,181641,95N,1946,2018-09-08T06:00:00Z,2018-09-22T12:29:04.341646Z
95P_2018_fall,grefa-spain,6471,95P,1380,2018-09-07T07:00:00Z,2018-11-08T07:16:19.692281Z
95R_2016_fall,grefa-spain,5019,95R,2016,2016-08-29T07:00:00Z,2016-10-15T21:00:00Z
95R_2017_fall,grefa-spain,5019,95R,879,,
95R_2017_spring,grefa-spain,5019,95R,2705,,
95R_2018_spring,grefa-spain,5019,95R,29,,
9FC_2017_fall,grefa-spain,5782,9FC,388,2017-09-12T07:00:00Z,2017-11-07T13:39:56.694600Z
9FH_2017_fall,grefa-spain,370,9FH,3405,2017-08-11T00:00:00Z,2017-11-09T14:13:27.775604Z
9FH_2018_spring,grefa-spain,370,9FH,580,,
9FJ_2017_fall,grefa-spain,5783,9FJ,2166,2017-08-04T08:00:00Z,2017-09-21T12:10:13.221369Z
9FJ_2018_spring,grefa-spain,5783,9FJ,378,,
A75657_2007_fall,terra.natura-spain,75657,A75657,1185,2007-09-08T00:00:00Z,2007-11-20T23:00:00Z
A75657_2008_fall,terra.natura-spain,75657,A75657,1397,2008-09-04T14:00:00Z,2008-12-31T23:00:00Z
A75657_2008_spring,terra.natura-spain,75657,A75657,929,2008-03-01T01:00:00Z,2008-03-16T02:26:42.987805Z
A75657_2009_fall,terra.natura-spain,75657,A75657,1231,2009-09-07T06:00:00Z,2009-09-29T16:17:06.567070Z
A75657_2009_spring,terra.natura-spain,75657,A75657,1013,2009-02-23T01:00:00Z,2009-03-20T11:35:50.135166Z
A75657_2010_fall,terra.natura-spain,75657,A75657,1246,2010-09-10T02:00:00Z,2010-09-25T08:39:21.467397Z
A75657_2010_spring,terra.natura-spain,75657,A75657,1063,2010-03-04T01:00:00Z,2010-03-25T19:49:41.493518Z
A75657_2011_fall,terra.natura-spain,75657,A75657,1082,2011-09-01T02:00:00Z,2011-11-04T23:00:00Z
A75657_2011_spring,terra.natura-spain,75657,A75657,993,2011-02-27T01:00:00Z,2011-03-21T07:09:01.866642Z
A75657_2012_fall,terra.natura-spain,75657,A75657,1360,2012-08-31T00:00:00Z,2012-09-13T14:52:08.657152Z
A75657_2012_spring,terra.natura-spain,75657,A75657,971,2012-02-26T13:00:00Z,2012-03-16T22:27:15.156263Z
A75657_2013_fall,terra.natura-spain,75657,A75657,926,2013-09-09T00:00:00Z,2013-11-04T23:00:00Z
A75657_2013_spring,terra.natura-spain,75657,A75657,929,2013-02-25T03:23:03.969903Z,2013-03-21T23:00:00Z
A75658_2009_fall,terra.natura-spain,75658,A75658,1175,2009-09-06T09:43:00.769152Z,2009-10-09T00:59:23.144874Z
A75658_2010_fall,terra.natura-spain,75658,A75658,1656,,
A75658_2010_spring,terra.natura-spain,75658,A75658,1777,,
A75658_2011_fall,terra.natura-spain,75658,A75658,551,,
A75658_2011_spring,terra.natura-spain,75658,A75658,1667,,
A75658_2012_spring,terra.natura-spain,75658,A75658,74,,
A75659_2009_fall,terra.natura-spain,75659,A75659,1281,2009-09-07T12:00:00Z,2009-12-14T23:00:00Z
A75659_2010_fall,terra.natura-spain,75659,A75659,1317,2010-09-08T00:00:00Z,2010-11-03T23:00:00Z
A75659_2010_spring,terra.natura-spain,75659,A75659,957,2010-02-27T01:00:00Z,2010-03-21T23:01:05.007874Z
A75659_2011_fall,terra.natura-spain,75659,A75659,88,,
A75659_2011_spring,terra.natura-spain,75659,A75659,875,2011-02-25T01:00:00Z,2011-03-21T15:31:44.145501Z
A80419_2008_fall,terra.natura-spain,80419,A80419,1148,2008-09-19T00:00:00Z,2008-11-09T23:00:00Z
A80419_2009_fall,terra.natura-spain,80419,A80419,1303,2009-09-04T00:00:00Z,2009-10-17T18:00:00Z
A80419_2009_spring,terra.natura-spain,80419,A80419,1014,2009-02-16T01:00:00Z,2009-03-11T05:43:39.859881Z
A80419_2010_fall,terra.natura-spain,80419,A80419,1360,2010-09-10T12:00:00Z,2010-10-29T22:00:00Z
A80419_2010_spring,terra.natura-spain,80419,A80419,1096,2010-02-13T01:00:00Z,2010-03-02T20:36:03.376642Z
A80419_2011_spring,terra.natura-spain,80419,A80419,611,2011-02-18T07:00:00Z,2011-04-13T18:00:00Z
A80420_2009_fall,terra.natura-spain,80420,A80420,1210,2009-09-02T02:00:00Z,2009-09-20T01:46:19.014317Z
A80420_2010_fall,terra.natura-spain,80420,A80420,1290,2010-09-07T06:12:13.745209Z,2010-09-24T03:33:43.317342Z
A80420_2010_spring,terra.natura-spain,80420,A80420,1105,2010-02-27T13:00:00Z,2010-03-17T17:04:22.938185Z
A80420_2011_fall,terra.natura-spain,80420,A80420,1274,2011-09-05T20:00:00Z,2011-10-27T22:00:00Z
A80420_2011_spring,terra.natura-spain,80420,A80420,1240,2011-01-06T07:00:00Z,2011-03-19T21:43:28.284059Z
A80420_2012_fall,terra.natura-spain,80420,A80420,1271,2012-09-02T02:00:00Z,2012-11-18T23:00:00Z
A80420_2012_spring,terra.natura-spain,80420,A80420,1156,2012-02-21T01:00:00Z,2012-03-10T17:06:22.352439Z
A80420_2013_fall,terra.natura-spain,80420,A80420,14,,
A80420_2013_spring,terra.natura-spain,80420,A80420,774,2013-02-10T01:00:00Z,2013-03-17T06:53:39.235144Z
A89730_2009_fall,terra.natura-spain,89730,A89730,143,2009-08-21T02:00:00Z,2009-09-01T15:14:42.751181Z
A89730_2010_fall,terra.natura-spain,89730,A89730,155,2010-08-21T02:00:00Z,2010-08-30T17:06:06.252824Z
A89730_2010_spring,terra.natura-spain,89730,A89730,103,2010-03-09T01:00:00Z,2010-04-21T14:39:56.694600Z
A89730_2011_fall,terra.natura-spain,89730,A89730,138,2011-08-29T02:00:00Z,2011-09-09T12:24:13.433171Z
A89730_2011_spring,terra.natura-spain,89730,A89730,104,2011-02-22T01:00:00Z,2011-03-13T01:51:51.933476Z
A89730_2012_fall,terra.natura-spain,89730,A89730,103,2012-08-07T02:00:00Z,2012-08-16T13:26:59.607920Z
A89730_2012_spring,terra.natura-spain,89730,A89730,91,2012-03-01T01:00:00Z,2012-03-17T07:50:07.196368Z
A89730_2013_spring,terra.natura-spain,89730,A89730,65,2013-01-26T01:00:00Z,2013-03-14T01:00:00Z
A89731_2009_fall,terra.natura-spain,89731,A89731,127,2009-09-08T02:00:00Z,2009-09-22T07:14:26.040140Z
A89731_2010_fall,terra.natura-spain,89731,A89731,155,2010-09-06T02:00:00Z,2010-09-27T02:00:00Z
A89731_2010_spring,terra.natura-spain,89731,A89731,131,2010-02-28T01:00:00Z,2010-03-15T22:23:33.373946Z
A89731_2011_fall,terra.natura-spain,89731,A89731,160,2011-09-11T02:00:00Z,2011-09-24T18:34:08.522610Z
A89731_2011_spring,terra.natura-spain,89731,A89731,119,2011-02-18T01:00:00Z,2011-03-15T11:57:02.986609Z
A89731_2012_fall,terra.natura-spain,89731,A89731,41,,
A89731_2012_spring,terra.natura-spain,89731,A89731,131,2012-02-23T01:00:00Z,2012-03-15T20:16:01.709011Z
Agri_2013_fall,buechley-mideast,130662,Agri,2965,2013-09-11T00:00:00Z,2013-09-27T09:18:41.707342Z
Agri_2013_spring,buechley-mideast,130662,Agri,74,,
Agri_2014_fall,buechley-mideast,130662,Agri,14,,
Agri_2014_spring,buechley-mideast,130662,Agri,2142,2014-03-21T00:00:00Z,2014-04-09T14:22:08.882116Z
Akaga_2018_fall,oppel-balkans,171362,Akaga,3739,2018-08-22T00:00:00Z,2018-09-22T22:02:12.797716Z
Akaga_2018_spring,oppel-balkans,171362,Akaga,1100,,
Amud_2018_fall,efrat-israel,180318,Amud,1556,2018-09-18T05:00:00Z,2018-11-11T18:00:00Z
Anna_2018_fall,oppel-balkans,171348,Anna,1297,2018-09-04T07:54:36.978072Z,2018-09-10T05:14:36.033672Z
Aoos_2015_fall,oppel-balkans,118154,Aoos,2052,2015-09-04T00:00:00Z,2015-10-02T02:24:37.481514Z
Aoos_2015_spring,oppel-balkans,118154,Aoos,462,,
Aoos_2016_fall,oppel-balkans,118154,Aoos,961,2016-09-23T03:00:00Z,2016-10-12T16:47:42.079507Z
Aoos_2016_spring,oppel-balkans,118154,Aoos,1328,2016-03-16T05:00:00Z,2016-04-12T23:56:36.094446Z
Aoos_2017_fall,oppel-balkans,118154,Aoos,1033,2017-09-13T10:00:00Z,2017-10-18T22:00:00Z
Aoos_2017_spring,oppel-balkans,118154,Aoos,748,2017-03-08T03:00:00Z,2017-03-31T19:18:34.805224Z
Aoos_2018_fall,oppel-balkans,118154,Aoos,833,2018-08-13T16:00:00Z,2018-09-16T05:53:12.341438Z
Aoos_2018_spring,oppel-balkans,118154,Aoos,806,2018-03-04T05:00:00Z,2018-04-21T14:39:56.694600Z
Aras_2012_fall,buechley-mideast,118176,Aras,1396,2012-09-06T02:00:00Z,2012-12-29T19:00:00Z
Aras_2013_spring,buechley-mideast,118176,Aras,559,,
Arda_2012_fall,oppel-balkans,118147,Arda,1407,2012-09-21T05:00:00Z,2012-10-28T22:00:00Z
Arda_2013_spring,oppel-balkans,118147,Arda,204,,
Ardahan_2013_fall,buechley-mideast,210,Ardahan,3998,2013-07-02T00:00:00Z,2013-09-15T22:00:00Z
Ardahan_2013_spring,buechley-mideast,210,Ardahan,212,,
Ardahan_2014_fall,buechley-mideast,210,Ardahan,1825,2014-07-02T00:00:00Z,2014-10-19T13:39:56.694600Z
Ardahan_2014_spring,buechley-mideast,210,Ardahan,3972,2014-01-02T00:00:00Z,2014-05-03T15:32:08.895309Z
Armenia2_2015_fall,buechley-mideast,48500703868,Armenia2,1496,2015-08-31T00:00:00Z,2015-10-10T03:00:00Z
Armenia3_2015_fall,buechley-mideast,48500704009,Armenia3,968,2015-09-20T00:00:00Z,2015-10-06T00:38:29.186206Z
Arpacay_2012_fall,buechley-mideast,118174,Arpacay,202,2012-08-21T02:00:00Z,2012-12-08T13:39:56.694600Z
Asparuh_2013_fall,oppel-balkans,131250,Asparuh,320,2013-08-06T03:00:00Z,2013-11-22T13:39:56.694600Z
Batuecasa_2017_fall,douro-spain,17020,Batuecasa,3485,2017-09-10T17:07:20.727774Z,2017-11-01T23:00:00Z
Batuecasa_2017_spring,douro-spain,17020,Batuecasa,295,,
Batuecasa_2018_fall,douro-spain,17020,Batuecasa,2351,2018-09-21T06:00:00Z,2018-09-29T11:48:21.586053Z
Batuecasa_2018_spring,douro-spain,17020,Batuecasa,2774,2018-01-18T02:00:00Z,2018-03-06T20:00:00Z
BatuecasP_2017_fall,douro-spain,17022,BatuecasP,2614,2017-08-02T01:00:00Z,2017-10-10T22:15:52.952355Z
BatuecasP_2018_fall,douro-spain,17022,BatuecasP,3432,,
BatuecasP_2018_spring,douro-spain,17022,BatuecasP,3509,,
Belgin_2018_fall,oppel-balkans,171346,Belgin,832,2018-09-14T02:00:00Z,2018-09-19T22:06:00.748908Z
Berenice_2013_fall,oppel-balkans,130672,Berenice,274,2013-08-30T00:00:00Z,2013-09-12T17:00:00Z
Blanka_2018_fall,oppel-balkans,171345,Blanka,2024,2018-08-31T00:00:00Z,2018-10-05T14:19:00.276839Z
Boris_2015_fall,oppel-balkans,149505,Boris,1875,2015-09-14T05:00:00Z,2015-09-30T05:39:24.813150Z
Boris_2016_fall,oppel-balkans,149505,Boris,2127,2016-09-24T05:00:00Z,2016-10-07T06:52:01.979889Z
Boris_2016_spring,oppel-balkans,149505,Boris,1806,2016-03-01T03:00:00Z,2016-03-21T08:54:18.149913Z
Boris_2017_fall,oppel-balkans,149505,Boris,2029,2017-09-22T05:00:00Z,2017-10-07T17:34:45.262397Z
Boris_2017_spring,oppel-balkans,149505,Boris,1829,2017-03-01T03:00:00Z,2017-03-22T16:05:39.144382Z
Boris_2018_fall,oppel-balkans,149505,Boris,1985,2018-09-22T05:00:00Z,2018-10-07T09:36:11.135390Z
Boris_2018_spring,oppel-balkans,149505,Boris,1840,2018-02-27T03:00:00Z,2018-03-18T13:43:05.312811Z
Boyana_2018_fall,oppel-balkans,171357,Boyana,3746,2018-09-07T00:00:00Z,2018-10-19T14:52:51.011414Z
Boyana_2018_spring,oppel-balkans,171357,Boyana,1101,,
Brieva_2016_fall,migra-spain,4404,Brieva,2032,2016-09-08T12:46:16.738921Z,2016-10-09T12:04:48.902421Z
Brieva_2017_spring,migra-spain,4404,Brieva,1240,,
